DAT_Path,Source,Source_ID,Category,VSX_Class,RA,Dec,Distance_pc,Mean_g,Mean_Abs_G,GBP_GRP,RUWE,RVamp,Search_Method,Num_Dips,Max_Duration_Days,Start_Recent_Dip,Max_Depth_Mag,Mag_Bin,Global_Detected,Global_Matches_Exp,Global_G_Peaks,Global_V_Peaks,CamMean_Detected,CamMean_Matches_Exp,CamMean_G_Peaks,CamMean_V_Peaks,CamMedian_Detected,CamMedian_Matches_Exp,CamMedian_G_Peaks,CamMedian_V_Peaks,Trend_Detected,Trend_Matches_Exp,Trend_G_Peaks,Trend_V_Peaks
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc5_cal/360777377116.dat,J074007-161608,3.60777E+11,Single Eclipse Binaries,,115.0276126,-16.26896725,8202+1484−1391,13.1,-2.71,0.67,,2.28,Pipeline,1,4,21/09/2022,0.33,13_13.5,TRUE,TRUE,2,0,TRUE,TRUE,2,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc10_cal/635655234580.dat,J094848-545959,6.35655E+11,Single Eclipse Binaries,,147.1987289,-54.99963893,1711+43−38,13.07,0.83,0.28,,1.05,Pipeline,1,7.7,20/03/2019,0.32,13_13.5,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc35_cal/412317159120.dat,J162209-444247,4.12317E+11,Single Eclipse Binaries,,245.5357562,-44.71308061,1772+51−63,13.96,0.13,1.25,0.97,93.9,Pipeline,1,3.1,25/04/2023,0.61,13.5_14,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc36_cal/438086901547.dat,J183606-314826,4.38087E+11,Single Eclipse Binaries,SR,279.0252466,-31.80714478,6261+565−619,13.87,-1.83,1.77,0.9,4.14,Pipeline,1,10.7,10/3/22,0.39,13.5_14,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc23_cal/463856535113.dat,J205245-713514,4.63857E+11,Single Eclipse Binaries,,313.1890422,-71.58708665,1224+33−30,13.41,2.43,0.82,,1.35,Pipeline,1,2,14/04/2023,0.38,13_13.5,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,FALSE,FALSE,0,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc2_cal/120259184943.dat,J212132+480140,1.20259E+11,Single Eclipse Binaries,VAR,320.3840472,48.02785275,1528+65−59,13.15,-1.54,2.19,0.85,1.13,Pipeline,1,57.8,9/9/21,0.37,13_13.5,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc20_cal/25770019815.dat,J225702+562312,25770019815,Single Eclipse Binaries,E,344.2585271,56.38663345,2249+67−80,13.83,0.36,1.12,1.14,13.63,Pipeline,1,6,8/6/19,0.4,13.5_14,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13.5_14/lc2_cal/515396514761.dat,J190316-195739,5.15397E+11,Single Eclipse Binaries,,285.8184954,-19.9609327,2931+84−111,13.61,-0.44,1.51,1.09,3.4,Pipeline,1,15.3,19/08/2019,0.39,13.5_14,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/14_14.5/lc51_cal/231929175915.dat,J175602+013135,2.31929E+11,Single Eclipse Binaries,EA/RS,269.0079973,1.52628966,3361+176−188,14.53,0.08,1.3,,1.03,Known,1,94.8,22/02/2024,2.28,14_14.5,FALSE,FALSE,0,0,FALSE,FALSE,0,0,FALSE,FALSE,0,0,FALSE,FALSE,0,0
/data/poohbah/1/assassin/rowan.90/lcsv2/14.5_15/lc2_cal/335007754417.dat,J073234-200049,3.35008E+11,Single Eclipse Binaries,EA,113.142375,-20.01358333,3646+254−284,14.48,0.01,0.32,,1.07,Known,1,113.8,7/10/23,1.38,14.5_15,TRUE,TRUE,4,0,TRUE,TRUE,4,0,TRUE,TRUE,4,0,TRUE,TRUE,4,0
/data/poohbah/1/assassin/rowan.90/lcsv2/12.5_13/lc10_cal/60130040391.dat,J223332+565552,60130040391,Single Eclipse Binaries,EA,338.384125,56.93108333,354+1−1,12.74,4.49,0.83,0.88,22.29,Known,1,19.9,15/11/2023,0.65,12.5_13,TRUE,TRUE,2,0,TRUE,TRUE,2,0,TRUE,TRUE,1,0,TRUE,TRUE,1,0
/data/poohbah/1/assassin/rowan.90/lcsv2/13_13.5/lc6_cal/317827964025.dat,J183210-173432,3.17828E+11,Single Eclipse Binaries,,278.0424857,-17.57545433,1942+123−85,12.72,-1.78,2.27,,0.95,Pipeline,1,41,2/9/18,0.31,13_13.5,TRUE,FALSE,1,0,FALSE,TRUE,0,0,TRUE,FALSE,1,0,TRUE,FALSE,1,0
